text,category,priority,state
Farmers in Maharashtra are not receiving the Pradhan Mantri Kisan Samman Nidhi funds despite submitting documents,Agriculture,High,Maharashtra
Irrigation canal in Rajasthan has been blocked for 3 months and crops are dying due to water shortage,Agriculture,Critical,Rajasthan
Fertilizer supply has been disrupted in Uttar Pradesh villages leaving farmers helpless before sowing season,Agriculture,High,Uttar Pradesh
Pest attack on paddy crops in West Bengal is causing severe losses with no government support available,Agriculture,High,West Bengal
Cold storage facility in Himachal Pradesh is non-functional resulting in apple farmers losing their produce,Agriculture,Medium,Himachal Pradesh
Soil testing labs in Bihar are closed for 6 months and farmers cannot get proper guidance for crop selection,Agriculture,Medium,Bihar
Minimum support price for wheat in Madhya Pradesh is not being paid to farmers at procurement centers,Agriculture,High,Madhya Pradesh
Water scarcity in drought-hit regions of Karnataka is severely affecting agricultural production and livelihoods,Agriculture,Critical,Karnataka
Government hospital in UP has no doctors present for the last one week and patients are suffering,Hospital,Critical,Uttar Pradesh
Medicine shortage at district hospital in Bihar has left dengue patients without proper treatment,Hospital,Critical,Bihar
Ambulance service in rural Tamil Nadu is non-functional leaving emergency patients with no transport,Hospital,Critical,Tamil Nadu
Medical oxygen cylinders are not available at government hospital in Jharkhand causing risk to ICU patients,Hospital,Critical,Jharkhand
Cataract surgery camp was cancelled in Rajasthan without informing patients who traveled long distances,Hospital,High,Rajasthan
Salary of nurses at government hospital in Odisha has not been paid for 4 months causing a strike,Hospital,High,Odisha
Primary health center in Chhattisgarh has no electricity and patients are examined in total darkness,Hospital,High,Chhattisgarh
Mental health services at district hospital in Kerala are underfunded and psychiatrists have left,Hospital,Medium,Kerala
Government school building in Maharashtra has a collapsed roof and classes are held under open sky,School,Critical,Maharashtra
Mid-day meal scheme in government school in UP has stopped and children are going hungry,School,High,Uttar Pradesh
No teacher has been assigned to a primary school in rural Rajasthan for the past two months,School,High,Rajasthan
School toilets in Bihar are broken and girls are avoiding attending school due to hygiene concerns,School,High,Bihar
Blackboards and chalk are not supplied to government schools in Odisha since the beginning of session,School,Medium,Odisha
Computer lab in government school in Tamil Nadu has non-functional computers that have not been repaired,School,Medium,Tamil Nadu
Scholarship amount has not been disbursed to SC ST students in government schools in Madhya Pradesh,School,High,Madhya Pradesh
Sports equipment promised under Khelo India scheme has not reached schools in Himachal Pradesh,School,Low,Himachal Pradesh
State highway in Uttar Pradesh has potholes that have caused multiple accidents in the last month,Roads,Critical,Uttar Pradesh
Bridge connecting two villages in Bihar has been damaged since the floods and no repair work has started,Roads,Critical,Bihar
Street lights on the main road of a town in West Bengal have not been working for 3 months,Roads,High,West Bengal
Newly constructed road in Rajasthan has already developed cracks due to poor quality construction material,Roads,High,Rajasthan
Pedestrian footpath in Chennai is broken and senior citizens are at risk of falling and getting injured,Roads,Medium,Tamil Nadu
Dust from an unmaintained road in Haryana is causing health issues to residents in nearby areas,Roads,Medium,Haryana
Road digging was done for laying pipes in Maharashtra but the road was not restored causing traffic jams,Roads,High,Maharashtra
National highway expansion project in Karnataka has displaced families with no compensation given,Roads,High,Karnataka
Drinking water supply has stopped in a village in Rajasthan for 15 days during extreme summer heat,Water,Critical,Rajasthan
Water tanker service is irregular in tribal areas of Jharkhand and people walk 5 kilometers for water,Water,High,Jharkhand
Contaminated water from broken pipes in UP is causing diarrhea and stomach illness in a locality,Water,Critical,Uttar Pradesh
Groundwater is polluted near an industrial zone in Gujarat and residents are getting skin diseases,Water,Critical,Gujarat
Water meter billing in Maharashtra is incorrect and citizens are charged multiple times the actual usage,Water,Medium,Maharashtra
Pipeline laid under Jal Jeevan Mission in Bihar is non-functional and has never supplied water to homes,Water,High,Bihar
Sewage water is mixing with drinking water supply in a colony in Delhi causing serious health concerns,Water,Critical,Delhi
Borewell installed in village in Chhattisgarh is broken and was never repaired since installation,Water,High,Chhattisgarh
Frequent power cuts of more than 12 hours a day in Uttar Pradesh are disrupting businesses and homes,Electricity,High,Uttar Pradesh
Electricity pole fell on a house in Bihar and no repair team has come for a week causing danger,Electricity,Critical,Bihar
Electricity transformer in a village in Rajasthan burned down and has not been replaced for 2 months,Electricity,High,Rajasthan
High electricity bills are being generated in Tamil Nadu despite low consumption and no resolution given,Electricity,Medium,Tamil Nadu
Rural households in Odisha connected under Saubhagya scheme have no power supply after metering errors,Electricity,High,Odisha
Electrical wires are hanging low on a road in West Bengal posing electrocution risk to pedestrians,Electricity,Critical,West Bengal
New electricity connection application in Madhya Pradesh is pending for 6 months with no update,Electricity,Medium,Madhya Pradesh
Solar panels installed under a government scheme in Himachal Pradesh are non-functional from day one,Electricity,Medium,Himachal Pradesh
